,datetime,cpu0,cpu1,cpu2,ram,data_download,data_upload,cpuavg,state
175,2022-10-20 11:12:16.348281,41.8,35.3,41.8,53.3,0.540123191,0.016699212,39.63333333333333,high
176,2022-10-20 11:12:18.527117,25.4,24.9,27.6,53.4,0.54017321,0.016733127,25.96666666666667,normal
177,2022-10-20 11:12:20.707727,20.1,30.8,25.6,53.4,0.540173786,0.016733746,25.5,normal
178,2022-10-20 11:12:23.166148,22.0,22.7,21.3,53.4,0.540181714,0.016741666,22.0,normal
179,2022-10-20 11:12:25.561501,13.7,11.9,12.1,53.5,0.540182964,0.016742766,12.566666666666668,normal
180,2022-10-20 11:12:27.716937,22.3,24.8,24.5,53.3,0.540184409,0.016744984,23.866666666666664,normal
181,2022-10-20 11:12:29.973163,75.7,75.7,72.1,53.5,0.540286932,0.016795089,74.5,high
182,2022-10-20 11:12:32.134227,95.5,95.0,95.5,54.9,0.540289587,0.0168017,95.33333333333333,high
183,2022-10-20 11:12:34.320740,80.9,81.7,82.5,54.8,0.540300074,0.016817176,81.7,high
184,2022-10-20 11:12:36.486275,38.1,42.4,40.4,54.6,0.540301774,0.016821578,40.300000000000004,high
185,2022-10-20 11:12:38.795880,43.9,41.3,41.3,55.0,0.54030184,0.016821672,42.166666666666664,high
186,2022-10-20 11:12:40.978069,52.7,50.7,55.0,54.8,0.540307986,0.016828595,52.800000000000004,high
187,2022-10-20 11:12:43.169006,41.1,39.5,43.7,54.7,0.540310322,0.016829378,41.43333333333333,high
188,2022-10-20 11:12:45.354823,21.0,22.3,23.7,53.5,0.540311766,0.016831495,22.333333333333332,normal
189,2022-10-20 11:12:47.873832,29.6,27.3,24.6,53.1,0.540318167,0.016839169,27.166666666666668,normal
190,2022-10-20 11:12:49.965443,14.3,16.3,11.7,53.2,0.540318323,0.016839381,14.1,normal
191,2022-10-20 11:12:52.046492,18.2,21.0,18.1,53.3,0.540318653,0.016839945,19.1,normal
192,2022-10-20 11:12:54.360270,11.6,15.5,11.6,52.8,0.540320232,0.016842595,12.9,normal
193,2022-10-20 11:12:56.506274,27.0,27.5,25.7,53.1,0.540327144,0.016851354,26.733333333333334,normal
194,2022-10-20 11:12:58.686837,32.0,28.9,28.5,53.1,0.540327804,0.01685286,29.8,normal
195,2022-10-20 11:13:00.858385,9.2,11.9,8.6,53.2,0.540328552,0.016854612,9.9,normal
196,2022-10-20 11:13:03.186166,12.6,12.1,10.7,53.1,0.540329753,0.0168548,11.799999999999999,normal
197,2022-10-20 11:13:05.320132,21.9,20.8,19.4,52.9,0.540329972,0.016855003,20.7,normal
198,2022-10-20 11:13:07.457476,32.7,31.0,35.0,53.0,0.540331133,0.016858658,32.9,normal
199,2022-10-20 11:13:09.670761,12.6,13.4,16.4,53.0,0.540331443,0.016859345,14.133333333333333,normal
200,2022-10-20 11:13:11.852663,18.2,14.5,12.1,53.1,0.540331924,0.016860088,14.933333333333335,normal
201,2022-10-20 11:13:14.010299,7.5,10.9,8.0,52.9,0.540333003,0.016863782,8.799999999999999,normal
202,2022-10-20 11:13:16.135506,8.0,10.8,6.6,52.9,0.540334117,0.016864884,8.466666666666667,normal
203,2022-10-20 11:13:18.316954,9.1,9.5,7.3,53.0,0.540334499,0.016864884,8.633333333333335,normal
204,2022-10-20 11:13:20.475188,8.4,10.3,8.4,53.0,0.540334709,0.016865096,9.033333333333333,normal
205,2022-10-20 11:13:22.660769,11.1,14.7,15.1,52.9,0.54033597,0.016865472,13.633333333333333,normal
206,2022-10-20 11:13:25.003872,14.9,13.9,13.4,52.9,0.540344013,0.01687228,14.066666666666668,normal
207,2022-10-20 11:13:27.261013,15.2,18.9,23.0,52.9,0.540345831,0.01687933,19.03333333333333,normal
208,2022-10-20 11:13:29.419972,13.7,17.1,12.6,53.0,0.540346588,0.016880339,14.466666666666667,normal
209,2022-10-20 11:13:31.540709,12.1,14.2,12.1,53.0,0.54034899,0.016884182,12.799999999999999,normal
210,2022-10-20 11:13:33.958212,16.2,16.8,18.1,52.8,0.540359675,0.016899189,17.033333333333335,normal
211,2022-10-20 11:13:36.085154,53.5,52.0,64.5,53.8,0.54559659,0.016999812,56.666666666666664,high
212,2022-10-20 11:13:38.352899,37.1,38.5,42.7,54.3,0.545603909,0.017013972,39.43333333333333,high
213,2022-10-20 11:13:40.843856,35.3,33.0,34.2,54.3,0.545615696,0.017029268,34.166666666666664,normal
214,2022-10-20 11:13:43.005711,37.8,38.8,39.4,54.3,0.547400031,0.017043546,38.666666666666664,high
215,2022-10-20 11:13:45.172035,24.5,25.3,22.6,53.4,0.547401816,0.017047417,24.133333333333336,normal
216,2022-10-20 11:13:47.319776,25.2,25.4,23.5,53.4,0.549446956,0.017062393,24.7,normal
217,2022-10-20 11:13:49.467197,18.1,20.7,16.8,52.9,0.549456269,0.017078154,18.53333333333333,normal
218,2022-10-20 11:13:51.681170,68.7,66.7,66.3,53.9,0.549507266,0.017087929,67.23333333333333,high
219,2022-10-20 11:13:54.039641,90.6,87.1,91.1,54.4,0.552220087,0.017105376,89.59999999999998,high
220,2022-10-20 11:13:56.330645,81.5,84.5,81.6,54.0,0.555375141,0.017163499,82.53333333333333,high
